,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
17,1.00232927,-15.653375,71.13774177,15.00389165,0.84,-13.287375,-11.161395,5.85447895,1274.81982237,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS327.JV_JS327-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Reverse,Light
18,0.94039694,-13.410125,55.62867232000001,9.43035774,0.66,-10.62915625,-7.015243125,17.99202339,159.02271574,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS327.JV_JS327-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Forward,Light
19,0.96049276,-13.33348125,51.38968258,8.8470611,0.6,-10.96888125,-6.58132875,18.33583261,544.21086739,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS327.JV_JS327-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Reverse,Light
20,0.87887075,-14.78723125,34.26134165,5.98551721,0.6,-7.42104375,-4.45262625,19.78449956,66.86310952,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS327.JV_JS327-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Forward,Light
21,0.92760212,-15.01296875,40.95898036,7.66766081,0.62,-9.19995625,-5.703972875,15.46339843,105.12754928,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS327.JV_JS327-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Reverse,Light
22,0.87131422,-12.52936875,55.86479749000001,8.19837277,0.62,-9.836725,-6.0987694999999995,18.76053485,146.33592684,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS327.JV_JS327-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Forward,Light
23,0.82854845,-12.6919875,53.3703041,7.54453824,0.54,-10.3933,-5.612382,23.0073,515.04341867,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS327.JV_JS327-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Reverse,Light
24,0.95259212,-15.4239,53.58410261000001,10.58333613,0.7,-11.2470625,-7.872943749999999,9.45180701,260.56430294,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Forward,Light
25,0.96720977,-15.6024125,55.45258449,11.24914891,0.7,-11.95463125,-8.368241874999999,8.23872955,397.37196705,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Reverse,Light
26,0.99872953,-15.37815,60.65850657,12.5235986,0.8,-11.64538125,-9.316305,7.27295488,182.26739526,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Forward,Light
27,1.00528544,-15.3974375,62.22548089000001,12.9476677,0.8,-12.0397125,-9.631770000000001,6.40016768,342.43844657,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Reverse,Light
