,index,sample,batch,condition,variable,cell,direction,ilum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
10,Voltage (V)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T1.JV_CR-T04-01_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),e,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
11,Current Density(mA/cm2)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T1.JV_CR-T04-01_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),e,Forward,Light,20.00207,20.00198,20.00202,20.00204,20.00198,20.00198,20.00195,20.00192,20.00192,20.00192,20.00197,20.00191,20.00187,20.00186,20.00183,20.0018,20.00178,20.00178,20.00174,20.00174,20.00176,20.00179,20.00169,20.00168,20.0017,20.00169,20.00165,20.00162,20.00169,20.00163,20.00158,20.00159,20.00156,20.00154,20.0015,19.0452,17.06539,15.05802,13.05593,11.04655,9.003483,7.096062,5.098728,3.103788,1.078142,-0.8225148,-2.753507,-4.740402,-6.727378,-8.6816,-10.64552,-12.59819,,,,,,,
12,Voltage (V)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T1.JV_CR-T04-01_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
13,Current Density(mA/cm2)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T1.JV_CR-T04-01_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Reverse,Light,18.86132,15.13769,12.08298,9.518308,7.46766,5.575783,4.071333,2.844062,1.838802,1.010613,0.4030851,-0.2345139,-0.7631719,-1.092194,-1.527467,-1.907371,-2.24716,-2.556635,-2.843392,-3.111244,-3.362565,-3.599134,-3.821073,-4.030304,-4.219879,-4.402057,-4.584835,-4.759293,-4.92565,-5.085804,-5.241398,-5.39444,-5.545694,-5.685837,-5.838709,-5.997277,-6.156588,-6.316239,-6.475688,-6.634509,-6.791622,-6.945726,-7.095161,-7.231856,-7.366874,-7.497582,-7.622394,-7.73886,-7.846978,-7.946782,-8.038546,-8.122437,,,,,,,
14,Voltage (V)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T1.JV_CR-T04-01_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
15,Current Density(mA/cm2)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T1.JV_CR-T04-01_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Forward,Light,19.66453,16.30236,13.43668,10.96515,8.7698,7.206798,5.666799,4.35578,3.234822,2.291788,1.489617,0.7651455,0.3409474,-0.2137392,-0.432252,-0.8507483,-1.079133,-1.385908,-1.670468,-1.936794,-2.187146,-2.424248,-2.644238,-2.838108,-3.033729,-3.220173,-3.400398,-3.575541,-3.748035,-3.918763,-4.08883,-4.250732,-4.410179,-4.576222,-4.743207,-4.912286,-5.085787,-5.264352,-5.449749,-5.642715,-5.843768,-6.048428,-6.251248,-6.467119,-6.686101,-6.906282,-7.126265,-7.343481,-7.554828,-7.755715,-7.94208,-8.099534,,,,,,,
16,Voltage (V)_a_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),a,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
17,Current Density(mA/cm2)_a_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),a,Reverse,Light,15.4433,9.458825,6.537269,5.130423,4.08475,3.281448,2.65506,2.160171,1.764942,1.445052,1.183098,0.966485,0.8018327,0.637471,0.5051504,0.3919789,0.2932194,0.2044841,0.1224915,0.07392119,-0.01666998,-0.05171751,-0.147314,-0.2314838,-0.3076539,-0.3875873,-0.4677627,-0.5462433,-0.6232372,-0.6987505,-0.7728777,-0.8496442,-0.8563083,-0.9428842,-1.020974,-1.095986,-1.170393,-1.240519,-1.318511,-1.402008,-1.489329,-1.581388,-1.67732,-1.777319,-1.879164,-1.981016,-2.084198,-2.185509,-2.280983,-2.372756,-2.462039,-2.54569,,,,,,,
18,Voltage (V)_a_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),a,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
19,Current Density(mA/cm2)_a_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),a,Forward,Light,9.744683,7.850148,6.382566,5.201415,4.257099,3.505656,2.909311,2.433128,2.048784,1.741032,1.487867,1.270938,1.08373,0.9091267,0.8721083,0.7503327,0.6509883,0.5615963,0.4770387,0.3946573,0.3122489,0.2315957,0.147643,0.048596,0.04019142,-0.04643067,-0.086166,-0.1625386,-0.2388487,-0.314836,-0.3906374,-0.4659561,-0.5415308,-0.6176432,-0.6928618,-0.7714127,-0.8644608,-0.9110925,-0.99676,-1.08661,-1.1804,-1.27809,-1.380348,-1.48748,-1.59996,-1.718061,-1.841174,-1.966836,-2.100938,-2.23846,-2.378337,-2.519011,,,,,,,
20,Voltage (V)_b_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),b,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
21,Current Density(mA/cm2)_b_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),b,Reverse,Light,20.00193,20.00193,20.00193,20.00198,20.00188,20.00192,20.0019,20.00186,20.00184,19.78025,18.36883,17.04318,15.78017,14.56913,13.40349,12.2796,11.19491,10.14205,9.1171,8.150473,7.167209,6.226707,5.322126,4.454697,3.625602,2.838023,2.096723,1.401641,0.7959941,0.1791889,-0.3702107,-0.8697267,-1.24622,-1.664813,-2.026498,-2.345214,-2.627953,-2.880059,-3.106971,-3.309233,-3.495328,-3.671107,-3.834235,-3.98637,-4.128901,-4.261778,-4.390487,-4.512103,-4.624123,-4.731408,-4.837417,-4.93796,,,,,,,
22,Voltage (V)_b_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),b,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
23,Current Density(mA/cm2)_b_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),b,Forward,Light,20.00202,20.0019,20.0019,20.0019,20.00189,20.00185,20.00187,20.00183,20.00183,20.00183,18.94464,17.4942,16.11013,14.77885,13.50889,12.2908,11.12279,9.999458,8.913092,7.858683,6.873423,5.938445,5.051815,4.216118,3.432173,2.698556,2.010878,1.360748,0.8282923,0.2972867,-0.1880518,-0.64167,-0.9823383,-1.333128,-1.649013,-1.933402,-2.184886,-2.410431,-2.620518,-2.815692,-2.999966,-3.176318,-3.34723,-3.515403,-3.68244,-3.85014,-4.019522,-4.186999,-4.361509,-4.53888,-4.719005,-4.900159,,,,,,,
24,Voltage (V)_e_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),e,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
25,Current Density(mA/cm2)_e_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),e,Reverse,Light,15.94154,13.11604,10.69587,8.607217,6.856213,5.286766,3.993832,2.91944,2.029736,1.290005,0.7235187,0.1589546,-0.3077327,-0.7314422,-1.02043,-1.398334,-1.730903,-2.037041,-2.322908,-2.592763,-2.848702,-3.090552,-3.319466,-3.536811,-3.731872,-3.929491,-4.124654,-4.312812,-4.495038,-4.672462,-4.846166,-5.0179,-5.189178,-5.360073,-5.525892,-5.693588,-5.867823,-6.04049,-6.211522,-6.379942,-6.545518,-6.706518,-6.861887,-7.010445,-7.146234,-7.273473,-7.399901,-7.516594,-7.624625,-7.723363,-7.813643,-7.895503,,,,,,,
26,Voltage (V)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),e,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
