,index,sample,batch,condition,variable,cell,direction,ilum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
27,Current Density(mA/cm2)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),e,Forward,Light,16.55811,13.81998,11.47881,9.440342,7.864811,6.377297,5.094079,3.991212,3.049496,2.248152,1.563543,0.963875,0.6053257,0.1682698,-0.2263469,-0.6052774,-0.84778,-1.142974,-1.419531,-1.680276,-1.928632,-2.160136,-2.368217,-2.575265,-2.772294,-2.961551,-3.144636,-3.323068,-3.498774,-3.672852,-3.846117,-4.014268,-4.173524,-4.343168,-4.514619,-4.688129,-4.865511,-5.046736,-5.233546,-5.426642,-5.619944,-5.81803,-6.025391,-6.236996,-6.450888,-6.666222,-6.882022,-7.096247,-7.306022,-7.507839,-7.698947,-7.865413,,,,,,,
28,Voltage (V)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
29,Current Density(mA/cm2)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Reverse,Light,20.00198,20.00193,15.47002,11.548,8.300151,5.495353,3.227955,1.379577,-0.01765678,-1.246196,-2.311608,-3.170295,-3.893088,-4.513203,-5.053201,-5.529557,-5.952754,-6.325991,-6.661966,-6.970438,-7.247653,-7.498321,-7.727595,-7.939453,-8.13786,-8.326678,-8.498258,-8.676983,-8.8246,-8.989233,-9.155142,-9.31715,-9.475642,-9.630725,-9.782308,-9.93035,-10.07372,-10.20575,-10.33764,-10.46671,-10.58892,-10.70407,-10.81188,-10.91258,-11.00545,-11.08991,-11.16554,-11.23568,-11.30181,-11.36194,-11.41612,-11.46473,,,,,,,
30,Voltage (V)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
31,Current Density(mA/cm2)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Forward,Light,20.00195,20.00197,16.82756,12.98898,9.699025,7.158272,4.840802,2.883422,1.203493,-0.02254148,-0.9209625,-1.821506,-2.597665,-3.263311,-3.844988,-4.360058,-4.820056,-5.233214,-5.604727,-5.930905,-6.219516,-6.480204,-6.715503,-6.930483,-7.13149,-7.323407,-7.511219,-7.697162,-7.883456,-8.070414,-8.268641,-8.356308,-8.527733,-8.699275,-8.86805,-9.03695,-9.205708,-9.376233,-9.543275,-9.703917,-9.871608,-10.03778,-10.20276,-10.3654,-10.52453,-10.68011,-10.83131,-10.97777,-11.11728,-11.24516,-11.35907,-11.45082,,,,,,,
32,Voltage (V)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
33,Current Density(mA/cm2)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Reverse,Light,20.00208,16.57522,12.02098,8.283384,5.245589,2.812714,0.870975,-0.6065143,-1.811854,-2.859552,-3.690558,-4.378654,-4.962705,-5.468125,-5.900198,-6.292043,-6.640594,-6.949339,-7.225932,-7.476248,-7.706739,-7.92222,-8.126362,-8.322345,-8.508275,-8.6935,-8.859925,-9.034758,-9.20955,-9.379767,-9.544517,-9.703642,-9.856667,-10.00383,-10.14439,-10.27499,-10.39933,-10.52014,-10.63311,-10.73866,-10.83652,-10.92697,-11.00962,-11.08511,-11.15023,-11.2092,-11.26422,-11.31304,-11.35638,-11.39488,-11.42935,-11.46135,,,,,,,
34,Voltage (V)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
35,Current Density(mA/cm2)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_1-T2.JV_CR-T04-02_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Forward,Light,20.00199,17.86707,13.41028,9.711217,6.849144,4.369585,2.281303,0.8174084,-0.6066298,-1.609741,-2.528405,-3.278483,-3.903913,-4.44194,-4.907903,-5.315461,-5.673363,-5.987861,-6.266047,-6.514089,-6.740433,-6.944729,-7.129005,-7.314879,-7.497052,-7.678064,-7.859903,-8.046022,-8.248988,-8.336833,-8.509792,-8.675683,-8.839242,-9.00705,-9.174267,-9.341017,-9.506625,-9.670642,-9.834142,-9.99665,-10.15706,-10.31329,-10.46336,-10.61213,-10.75538,-10.89206,-11.02088,-11.13932,-11.24459,-11.33318,-11.40358,-11.45514,,,,,,,
36,Voltage (V)_b_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),b,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
37,Current Density(mA/cm2)_b_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),b,Reverse,Light,20.00168,20.0017,20.00169,20.00171,20.00174,20.00167,20.00168,20.00168,20.00164,19.28954,15.87496,13.09683,10.81244,8.899917,7.309405,5.866888,4.642954,3.545284,2.558177,1.665426,0.8507017,0.2052738,-0.5201832,-1.031552,-1.666682,-2.232989,-2.751676,-3.232708,-3.679213,-4.087925,-4.468801,-4.829721,-5.162256,-5.469569,-5.751956,-6.011281,-6.249996,-6.468907,-6.662087,-6.847366,-7.023634,-7.186631,-7.337537,-7.477827,-7.608041,-7.727926,-7.841787,-7.947283,-8.041789,-8.129646,-8.214499,-8.292464,,,,,,,
38,Voltage (V)_b_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),b,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
39,Current Density(mA/cm2)_b_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),b,Forward,Light,20.00177,20.00174,20.00174,20.00174,20.00171,20.0017,20.00164,20.00168,20.00164,19.62248,16.69741,14.47974,12.70583,11.20264,9.86235,8.598158,7.892312,6.799723,5.744467,4.715052,3.727639,2.782667,1.885553,1.029558,0.4761427,-0.2804416,-0.6685255,-1.160473,-1.752348,-2.299606,-2.800552,-3.258733,-3.675893,-4.055243,-4.400043,-4.714813,-4.995945,-5.244652,-5.486744,-5.716356,-5.938104,-6.155613,-6.371112,-6.587327,-6.804537,-7.019882,-7.237678,-7.457367,-7.675531,-7.888468,-8.089443,-8.261408,,,,,,,
40,Voltage (V)_e_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),e,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
41,Current Density(mA/cm2)_e_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),e,Reverse,Light,20.00177,20.00177,20.00177,19.54245,15.11272,11.54894,8.676725,6.537703,4.586154,3.074019,1.875485,0.9125942,0.2040536,-0.5259933,-1.043683,-1.644437,-2.1746,-2.653394,-3.09979,-3.524948,-3.915438,-4.282766,-4.63199,-4.961359,-5.272433,-5.570612,-5.853882,-6.113004,-6.369573,-6.618629,-6.854558,-7.079015,-7.293732,-7.499258,-7.694444,-7.880277,-8.056028,-8.215444,-8.367025,-8.5166,-8.658483,-8.7709,-8.894025,-9.018642,-9.136292,-9.246267,-9.3516,-9.44735,-9.537475,-9.623633,-9.70625,-9.783283,,,,,,,
42,Voltage (V)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),e,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
43,Current Density(mA/cm2)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),e,Forward,Light,20.00178,20.00177,20.00173,20.00171,17.25181,13.71868,10.72734,8.468608,6.397302,4.657265,3.202324,1.990357,0.968565,0.2974863,-0.4105163,-0.9711825,-1.309101,-1.741859,-2.133797,-2.492901,-2.818662,-3.121535,-3.405535,-3.682828,-3.9448,-4.200796,-4.448788,-4.681298,-4.902529,-5.130271,-5.351093,-5.566178,-5.776678,-5.984827,-6.190418,-6.394823,-6.599954,-6.800695,-6.994678,-7.203356,-7.417783,-7.638438,-7.865515,-8.101892,-8.361192,-8.515475,-8.742742,-8.970892,-9.191633,-9.403433,-9.600683,-9.761858,,,,,,,
44,Voltage (V)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
45,Current Density(mA/cm2)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Reverse,Light,20.0018,20.00177,20.00177,20.00185,20.00176,18.367,15.04508,12.36764,10.15912,8.457333,6.831038,5.485099,4.311737,3.26366,2.304088,1.409539,0.6289448,-0.2074792,-0.8830092,-1.634834,-2.312726,-2.940261,-3.521586,-4.063002,-4.56569,-5.033271,-5.45656,-5.853773,-6.220665,-6.555604,-6.860369,-7.138468,-7.393755,-7.628371,-7.845097,-8.04513,-8.22121,-8.390533,-8.553008,-8.705533,-8.829783,-8.960883,-9.091067,-9.216908,-9.334917,-9.445583,-9.547192,-9.643783,-9.738992,-9.8273,-9.912058,-9.992508,,,,,,,
46,Voltage (V)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
47,Current Density(mA/cm2)_f_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l3.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Forward,Light,20.00178,20.00178,20.0018,20.00177,20.00178,20.00174,16.92951,14.1986,11.82556,9.749333,8.082909,6.557755,5.238163,4.095614,3.07021,2.121309,1.221752,0.4905218,-0.2861672,-0.9623042,-1.422265,-1.989454,-2.513308,-2.995813,-3.443137,-3.85858,-4.235779,-4.581241,-4.905501,-5.206295,-5.483793,-5.741119,-5.981808,-6.209753,-6.429188,-6.642681,-6.844326,-7.043507,-7.250933,-7.463226,-7.681705,-7.907993,-8.144634,-8.408475,-8.550225,-8.778892,-9.005008,-9.22865,-9.445367,-9.646733,-9.829483,-9.977708,,,,,,,
48,Voltage (V)_a_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),a,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
49,Current Density(mA/cm2)_a_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),a,Reverse,Light,5.643604e-05,4.899239e-05,4.491957e-05,4.126074e-05,3.805951e-05,3.59942e-05,3.374983e-05,3.20739e-05,2.9641e-05,2.717778e-05,2.601155e-05,2.424372e-05,2.181461e-05,2.046837e-05,1.836232e-05,1.633206e-05,1.426391e-05,1.142837e-05,1.003381e-05,7.638808e-06,6.027297e-06,5.401073e-06,4.75211e-06,2.306895e-06,2.387423e-07,-1.1255e-06,-1.958256e-06,-3.019333e-06,-4.219677e-06,-5.795187e-06,-6.346567e-06,-8.018712e-06,-9.210525e-06,-1.005749e-05,-1.142174e-05,-1.243639e-05,-1.3812e-05,-1.511088e-05,-1.618237e-05,-1.666175e-05,-1.726808e-05,-1.882275e-05,-1.89677e-05,-2.032626e-05,-2.126797e-05,-2.197282e-05,-2.224946e-05,-2.260189e-05,-2.273642e-05,-2.359949e-05,-2.433656e-05,-2.522332e-05,,,,,,,
50,Voltage (V)_a_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),a,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
51,Current Density(mA/cm2)_a_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),a,Forward,Light,4.854144e-05,4.627718e-05,4.390112e-05,4.179033e-05,3.892448e-05,3.646221e-05,3.483933e-05,3.284792e-05,3.134346e-05,2.935678e-05,2.681588e-05,2.545259e-05,2.263694e-05,2.09648e-05,1.979951e-05,1.823443e-05,1.596921e-05,1.400812e-05,1.204228e-05,1.073014e-05,9.54685e-06,7.531753e-06,6.834473e-06,5.246647e-06,3.690085e-06,2.319212e-06,1.518667e-06,5.854872e-07,-5.750659e-07,-1.698671e-06,-2.263316e-06,-4.628002e-06,-4.956746e-06,-5.651183e-06,-6.19688e-06,-7.292063e-06,-9.053258e-06,-1.030666e-05,-1.170501e-05,-1.220997e-05,-1.289208e-05,-1.483139e-05,-1.451402e-05,-1.573994e-05,-1.719513e-05,-1.815957e-05,-1.833674e-05,-1.934666e-05,-1.961667e-05,-2.086912e-05,-2.253083e-05,-2.49391e-05,,,,,,,
52,Voltage (V)_b_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),b,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
53,Current Density(mA/cm2)_b_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),b,Reverse,Light,20.00202,20.00202,20.00202,20.00205,20.00197,20.00201,20.00197,20.00195,20.00191,17.71125,14.97234,12.70622,10.76181,9.077475,7.74952,6.371798,5.231679,4.234508,3.354307,2.562121,1.831651,1.154626,0.63828,0.1764065,-0.4858191,-0.953285,-1.542796,-2.065673,-2.5457,-2.991121,-3.403949,-3.788981,-4.148194,-4.476925,-4.78522,-5.080089,-5.352083,-5.602298,-5.832603,-6.044969,-6.241973,-6.426169,-6.590394,-6.757295,-6.922213,-7.082228,-7.243773,-7.403157,-7.560122,-7.713451,-7.861807,-8.00428,,,,,,,
54,Voltage (V)_b_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),b,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
55,Current Density(mA/cm2)_b_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),b,Forward,Light,20.00208,20.00208,20.00208,20.00204,20.00199,20.00199,20.00195,20.00195,20.00193,18.56974,16.37712,14.43503,12.6969,11.13847,9.725908,8.416792,7.659673,6.692278,5.746741,4.863043,4.019674,3.212443,2.428208,1.66077,0.8901133,0.3759817,-0.3381801,-0.7411322,-1.210542,-1.749051,-2.245586,-2.698363,-3.103981,-3.491043,-3.848646,-4.180685,-4.490123,-4.778709,-5.049394,-5.304581,-5.539147,-5.758246,-5.969553,-6.171771,-6.369512,-6.567709,-6.77383,-6.989749,-7.216071,-7.453205,-7.701845,-7.953907,,,,,,,
56,Voltage (V)_e_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),e,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
57,Current Density(mA/cm2)_e_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),e,Reverse,Light,20.00216,20.00206,20.00204,18.3921,14.72887,11.72569,9.243467,7.288833,5.560323,4.215242,3.117109,2.21327,1.460395,0.8601067,0.214817,-0.33092,-0.8611033,-1.182853,-1.670656,-2.109759,-2.530153,-2.932979,-3.317912,-3.683623,-4.032162,-4.355398,-4.660853,-4.958769,-5.240038,-5.508376,-5.764465,-6.006969,-6.241535,-6.464093,-6.673713,-6.864458,-7.046442,-7.227763,-7.40133,-7.572391,-7.744108,-7.918963,-8.095986,-8.274705,-8.452267,-8.624492,-8.794,-8.959117,-9.1345,-9.3092,-9.479175,-9.647117,,,,,,,
58,Voltage (V)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),e,Forward,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
59,Current Density(mA/cm2)_e_Forward_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),e,Forward,Light,20.00214,20.00207,20.00203,18.59929,15.02474,12.11589,9.731817,7.987612,6.39647,5.102883,4.023572,3.101301,2.336085,1.682034,1.026733,0.6460513,0.1597572,-0.2861498,-0.7616573,-1.063425,-1.482492,-1.847188,-2.225948,-2.591548,-2.934244,-3.259338,-3.550161,-3.837909,-4.10476,-4.358332,-4.607487,-4.853824,-5.093699,-5.330486,-5.559552,-5.783473,-5.999075,-6.21292,-6.416203,-6.607337,-6.813247,-7.027418,-7.252231,-7.490053,-7.739263,-8.007942,-8.313617,-8.504175,-8.779717,-9.057917,-9.33835,-9.609692,,,,,,,
60,Voltage (V)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Voltage (V),f,Reverse,Light,2.0,1.96,1.92,1.88,1.84,1.8,1.76,1.72,1.68,1.64,1.6,1.56,1.52,1.48,1.44,1.4,1.36,1.32,1.28,1.24,1.2,1.16,1.12,1.08,1.04,1.0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.32,0.28,0.24,0.2,0.16,0.12,0.08,0.04,0.0,-0.04,,,,,,,
61,Current Density(mA/cm2)_f_Reverse_Light,../lZSt4uS5QUSdxIGtNcLxVw/HZB_CR_T1_2-T3.JV_CR-T04-03_l1.jv.txt,lZSt4uS5QUSdxIGtNcLxVw,w,Current Density(mA/cm2),f,Reverse,Light,20.00208,20.00212,20.00205,20.00204,20.00208,20.00202,17.56923,14.65061,12.27973,10.29114,8.591658,7.202623,5.84314,4.688208,3.663291,2.750458,1.890173,1.086836,0.4244791,-0.3432985,-0.9252383,-1.63958,-2.282818,-2.876435,-3.423487,-3.929182,-4.393363,-4.806,-5.199188,-5.56555,-5.90044,-6.208578,-6.493871,-6.756572,-6.999753,-7.224128,-7.431241,-7.611859,-7.791855,-7.967945,-8.139023,-8.308142,-8.47505,-8.642533,-8.795392,-8.951242,-9.115583,-9.280992,-9.437117,-9.585508,-9.730717,-9.872442,,,,,,,
