,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
20,0.02655,-7.436406,18.600771,0.036725,0.02,-1.83627,-0.036725400000000005,0.003567,0.003567,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
21,0.026626,-7.488556,18.643638,0.037174,0.02,-1.858686,-0.03717372,0.003565,0.003567,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
22,0.02485,-7.399325,15.795145,0.029043,0.02,-1.452164,-0.02904328,0.00334,0.003398,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
23,0.024801,-7.429194,15.561127000000003,0.028671,0.02,-1.433564,-0.02867128,0.003349,0.003398,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
24,0.002697,-1.379417,0.0,0.0,0.0,-1.379417,-0.0,0.001955,0.002305,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
25,0.002817,-1.450996,0.0,0.0,0.0,-1.450996,-0.0,0.001941,0.002305,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
26,0.049288,-10.829631,24.210814,0.129229,0.02,-6.461469,-0.12922938,0.0045,0.004561,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Reverse,Light
27,0.049186,-10.838306,24.156624,0.128777,0.02,-6.43885,-0.128777,0.00451,0.004555,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Forward,Light
28,0.008744,-3.118881,0.0,0.0,0.0,-3.118881,-0.0,0.002804,0.002847,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
29,0.008817,-3.167587,0.0,0.0,0.0,-3.167587,-0.0,0.002784,0.002846,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
30,0.011369,-3.756417,0.0,0.0,0.0,-3.756417,-0.0,0.003027,0.003032,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Reverse,Light
31,0.011431,-3.803924,0.0,0.0,0.0,-3.803924,-0.0,0.003005,0.003031,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Forward,Light
32,1.063416,-22.2188,79.062954,18.680867,0.9,-20.756519,-18.6808671,0.003885,14.54215,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
33,1.062942,-22.2139,77.218059,18.232802,0.9,-20.258669,-18.2328021,0.003934,12.539185,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
34,1.059547,-22.495406,77.707804,18.521601,0.9,-20.579556,-18.5216004,0.004412,15.29393,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
35,1.058705,-22.503344,75.656099,18.024611,0.88,-20.482512,-18.02461056,0.004565,11.178388,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
36,1.061573,-21.474975,78.434078,17.880823,0.9,-19.867581,-17.880822900000002,0.00398,5.496393,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
37,1.06104,-21.453756,76.708591,17.461395,0.88,-19.842494,-17.461394719999998,0.004091,3.986959,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
38,1.060123,-21.873487,78.866202,18.287955,0.9,-20.31995,-18.287955,0.003932,7.522627,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Reverse,Light
39,1.059907,-21.848056,76.594477,17.736906,0.88,-20.155575,-17.736905999999998,0.004527,5.870303,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Forward,Light
40,1.060312,-22.445369,77.091153,18.346995,0.9,-20.38555,-18.346995,0.003823,11.444239,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
41,1.059625,-22.437381,75.171906,17.872283,0.88,-20.309413,-17.87228344,0.004454,4.840295,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
42,1.055081,-19.967169,77.400747,16.306003,0.9,-18.117781,-16.306002900000003,0.004662,5.847597,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Reverse,Light
43,1.053982,-19.955269,74.97036,15.768138,0.86,-18.335044,-15.76813784,0.004866,5.245758,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-4.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Forward,Light
44,1.072404,-21.525894,76.64644,17.693409,0.9,-19.659344,-17.693409600000003,0.004704,1.370577,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
