sample,core_level,file,x_shift_applied,peak_value,background_value,peak_minus_background,gaussian_area
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2177.5315209876544,1461.0971790123458,1.438713178141337
sample2,N1s_2,Commercial_ITO_1_T16_20_16_N1s_2.xy,0.8499999999999659,3248.0201,2019.0718305555556,1228.9482694444446,1.67556143964412
sample3,N1s_2,Planar_ITO_1_27_N1s_2.xy,0.8499999999999659,3372.647,2105.039673611111,1267.6073263888889,1.6593500039606703
sample4,N1s_2,Planar_ITO_2_T17_04_65_N1s_2.xy,0.8999999999999773,3355.1284,2062.763971830986,1292.364428169014,1.6235943063536946
sample5,N1s_2,Textured_ITO_1_T18_14_38_N1s_2.xy,0.0,3402.5497,2087.9759530864194,1314.5737469135806,1.5339896912961264
sample6,N1s_2,Textured_ITO_2_T20_02_78_N1s_2.xy,-2.650000000000034,3183.5128,2010.6378876543208,1172.8749123456791,1.5293450970990314
