sample,core_level,file,x_shift_applied,peak_value,background_value,peak_minus_background,gaussian_area,timestamp
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:25:49
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:28:54
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:29:05
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:29:08
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:29:16
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:42:57
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:43:04
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:43:20
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:43:36
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:43:52
sample1,N1s_2,Commercial_ITO_2_new_spot_T16_18_92_N1s_2.xy,0.0,3638.6287,2172.48783877551,1466.14086122449,1.4454371527901102,2025-05-15 09:43:56
