,,entry_names,entry_description
C-2_HZB_NormalRecipe_83_1,0,C-2_HZB_NormalRecipe_83_1 first test_AM 1,Notes from file name: first test_AM 1
C-2_HZB_NormalRecipe_83_1,1,C-2_HZB_NormalRecipe_83_1 large 1_AM 1,Notes from file name: large 1_AM 1
C-1_HZB_NormalRecipe_83_1,0,C-1_HZB_NormalRecipe_83_1 25.57,Notes from file name: 25.57
C-3_HZB_NormalRecipe_83_1,0,C-3_HZB_NormalRecipe_83_1 large 2_AM 1_AM 1,Notes from file name: large 2_AM 1_AM 1
