# Hansen Blend Calculator Results
# Generated on: 2025-04-24 11:42:59

# Summary
Parameter,Value
Target_D,18.0
Target_P,15.9
Target_H,5.0
Blend_D,15.100000000000009
Blend_P,6.248445128358837
Blend_H,9.598384829852062
HSP_Distance,12.162962405751061

# Solvent Blend
Solvent,Percentage,D,P,H
Methanol,33.499397014932256,15.1,12.3,22.3
Isopropyl Ether,66.5006029850678,15.1,3.2,3.2

# All Selected Solvents
Name,D,P,H
Ethanol,15.8,8.8,19.4
Methanol,15.1,12.3,22.3
Isopropyl Ether,15.1,3.2,3.2
